# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.396992644814747109e+03 -1.020261345419755849e-04 1.144254807692034767e-04 6.199673113613945888e-06
-1.395992614295306112e+03 -2.585332341270263324e-04 -4.354588722655388684e-05 -1.510395606767900994e-04
-1.394992583775865114e+03 -9.968948412705689818e-05 -4.124639423076653937e-05 -7.046793917891172555e-05
-1.393992553256424344e+03 -9.732374677736449118e-05 -3.892789716063383760e-05 -6.812582196899916100e-05
-1.392992522736983574e+03 5.380609488675716819e-04 1.120974816619335038e-04 3.250792152647525657e-04
-1.391992492217542576e+03 3.720715085941855068e-04 -3.525901442307065987e-04 9.740682181739454071e-06
-1.390992461698101579e+03 2.179980158729921658e-04 -1.969182692307365555e-04 1.053987332112780518e-05
-1.389992431178660809e+03 -2.609377540562202277e-04 -3.888988901194313579e-05 -1.499138215340816750e-04
-1.388992400659220039e+03 6.398269702109153200e-05 1.144254807692034767e-04 8.920408889514750436e-05
-1.387992370139779041e+03 5.381094270919867164e-04 -4.362190352393529046e-05 2.472437617840256893e-04
-1.386992339620338043e+03 5.332519090091837827e-04 -1.993032805611133626e-04 1.669743142240352101e-04
-1.385992309100897273e+03 3.743984633643730915e-04 -3.501956308631925001e-04 1.210141625059029573e-05
-1.384992278581456503e+03 2.229040121800672091e-04 -3.643836342146382693e-05 9.323282437930169786e-05
-1.383992248062015506e+03 5.332228220745927234e-04 7.395264982110494626e-04 6.363746601428211472e-04
-1.382992217542574508e+03 5.420948698630007664e-05 5.765950668110814657e-04 3.154022768986907712e-04
-1.381992187023133738e+03 -5.787028192151652713e-04 1.168580022854082297e-04 -2.309224084648785072e-04
-1.380992156503692968e+03 -7.325727033938947983e-04 4.257692307691367598e-04 -1.534017363123790193e-04
-1.379992125984251970e+03 -4.223799368828999980e-04 5.838926313597700467e-04 8.075634723843502435e-05
-1.378992095464810973e+03 -1.050240812104119223e-03 2.627142728860051802e-04 -3.937632696090570214e-04
-1.377992064945370203e+03 -7.300227487915281156e-04 -3.550606738956020602e-04 -5.425417113435651150e-04
-1.376992034425929432e+03 -9.462835750196927427e-05 -5.107420509327111838e-04 -3.026852042173402155e-04
-1.375992003906488435e+03 2.179980158729921658e-04 -4.983038842738196032e-04 -1.401529342004137187e-04
-1.374991973387047437e+03 3.768417658730718227e-04 4.257692307691367598e-04 4.013054983211042912e-04
-1.373991942867606667e+03 3.742821156258654145e-04 5.814411057692181776e-04 4.778616106975417960e-04
-1.372991912348165897e+03 2.154286699810545607e-04 4.257692307691367598e-04 3.205989503750956331e-04
-1.371991881828724900e+03 -9.968948412705689818e-05 4.232416888812053166e-04 1.617761023770742160e-04
-1.370991851309283902e+03 6.174300305489439922e-05 1.169625246943430504e-04 8.935276387461873158e-05
-1.369991820789843132e+03 2.128011502196815402e-04 4.206761388445830565e-04 3.167386445321323119e-04
-1.368991790270402362e+03 -2.585332341270263324e-04 -5.133741152296147307e-04 -3.859536746783205586e-04
-1.367991759750961364e+03 -5.788385582434262336e-04 -6.588027941575083082e-04 -6.188206762004673251e-04
-1.366991729231520367e+03 -5.735932143655921803e-04 -3.609629008310594775e-05 -3.048447522243490776e-04
-1.365991698712079597e+03 -9.705226872073402435e-05 4.231846766581692267e-04 1.630662039687176079e-04
-1.364991668192638826e+03 -1.023363951781092071e-04 -2.047004376750530079e-04 -1.535184164265811007e-04
